UID,location,Duration
10000024,340,1.5
10000024,373,-1
10000037,340,1.5
10000037,373,-1
10000038,340,1.5
10000038,373,-1
10000039,340,1.5
10000039,373,-1
10000103,340,1.5
10000103,373,-1
10000227,340,1.5
10000227,373,-1
10000293,340,1.5
10000293,373,-1
10000335,340,1.5
10000335,373,-1
10000589,340,1.5
10000589,373,-1
10000618,340,1.5
10000618,373,-1
10000619,340,1.5
10000619,373,-1
10000659,340,1.5
10000659,373,-1
10000729,340,1.5
10000729,373,-1
10000975,340,1.5
10000975,373,-1
10001473,340,1.5
10001473,373,-1
10001474,340,1.5
10001474,373,-1
10001718,340,1.5
10001718,373,-1
10002093,340,1.5
10002093,373,-1
10002117,340,1.5
10002117,373,-1
10002325,340,1.5
10002325,373,-1
10002326,340,1.5
10002326,373,-1
10002350,340,1.5
10002350,373,-1
10002369,340,1.5
10002369,373,-1
10002394,340,1.5
10002394,373,-1
10002395,340,1.5
10002395,373,-1
10002443,340,1.5
10002443,373,-1
10002548,340,1.5
10002548,373,-1
10002549,340,1.5
10002549,373,-1
10002586,340,1.5
10002586,373,-1
10002587,340,1.5
10002587,373,-1
10002639,340,1.5
10002639,373,-1
10002640,340,1.5
10002640,373,-1
10002970,340,1.5
10002970,373,-1
10002971,340,1.5
10002971,373,-1
10003188,340,1.5
10003188,373,-1
10003303,340,1.5
10003303,373,-1
10003556,340,1.5
10003556,373,-1
10003756,340,1.5
10003756,373,-1
10004017,340,1.5
10004017,373,-1
10004018,340,1.5
10004018,373,-1
10004063,340,1.5
10004063,373,-1
10004088,340,1.5
10004088,373,-1
10004215,340,1.5
10004215,373,-1
10004216,340,1.5
10004216,373,-1
10004225,340,1.5
10004225,373,-1
10004469,340,1.5
10004469,373,-1
10004674,340,1.5
10004674,373,-1
10005170,340,1.5
10005170,373,-1
10005191,340,1.5
10005191,373,-1
10005192,340,1.5
10005192,373,-1
10005465,340,1.5
10005465,373,-1
10005466,340,1.5
10005466,373,-1
10005467,340,1.5
10005467,373,-1
10005468,340,1.5
10005468,373,-1
10005469,340,1.5
10005469,373,-1
10005470,340,1.5
10005470,373,-1
10005471,340,1.5
10005471,373,-1
10005472,340,1.5
10005472,373,-1
10005518,340,1.5
10005518,373,-1
10005591,340,1.5
10005591,373,-1
10005884,340,1.5
10005884,373,-1
10006173,340,1.5
10006173,373,-1
10006174,340,1.5
10006174,373,-1
10006250,340,1.5
10006250,373,-1
10006301,340,1.5
10006301,373,-1
10006302,340,1.5
10006302,373,-1
10006443,340,1.5
10006443,373,-1
10006533,340,1.5
10006533,373,-1
10006599,340,1.5
10006599,373,-1
10006708,340,1.5
10006708,373,-1
10006770,340,1.5
10006770,373,-1
10006821,340,1.5
10006821,373,-1
10006870,340,1.5
10006870,373,-1
10006928,340,1.5
10006928,373,-1
10006951,340,1.5
10006951,373,-1
10007001,340,1.5
10007001,373,-1
10007052,340,1.5
10007052,373,-1
10007106,340,1.5
10007106,373,-1
10007107,340,1.5
10007107,373,-1
10007267,340,1.5
10007267,373,-1
10007409,340,1.5
10007409,373,-1
10007506,340,1.5
10007506,373,-1
10008086,340,1.5
10008086,373,-1
10008090,340,1.5
10008090,373,-1
10008206,340,1.5
10008206,373,-1
10008544,340,1.5
10008544,373,-1
10008826,340,1.5
10008826,373,-1
10008827,340,1.5
10008827,373,-1
10009048,340,1.5
10009048,373,-1
10009051,340,1.5
10009051,373,-1
10009054,340,1.5
10009054,373,-1
10009237,340,1.5
10009237,373,-1
10009421,340,1.5
10009421,373,-1
10009422,340,1.5
10009422,373,-1
10009575,340,1.5
10009575,373,-1
10009576,340,1.5
10009576,373,-1
10009661,340,1.5
10009661,373,-1
10009662,340,1.5
10009662,373,-1
10009834,340,1.5
10009834,373,-1
10010129,340,1.5
10010129,373,-1
10010130,340,1.5
10010130,373,-1
10010169,340,1.5
10010169,373,-1
10010200,340,1.5
10010200,373,-1
10010217,340,1.5
10010217,373,-1
10010228,340,1.5
10010228,373,-1
10010229,340,1.5
10010229,373,-1
10010274,340,1.5
10010274,373,-1
10010275,340,1.5
10010275,373,-1
10010693,340,1.5
10010693,373,-1
10010947,340,1.5
10010947,373,-1
10010970,340,1.5
10010970,373,-1
10010971,340,1.5
10010971,373,-1
10010972,340,1.5
10010972,373,-1
10011267,340,1.5
10011267,373,-1
10011490,340,1.5
10011490,373,-1
10011579,340,1.5
10011579,373,-1
10011678,340,1.5
10011678,373,-1
10011982,340,1.5
10011982,373,-1
10012220,340,1.5
10012220,373,-1
10012224,340,1.5
10012224,373,-1
10012272,340,1.5
10012272,373,-1
10012273,340,1.5
10012273,373,-1
10012589,340,1.5
10012589,373,-1
10012602,340,1.5
10012602,373,-1
10012717,340,1.5
10012717,373,-1
10012919,340,1.5
10012919,373,-1
10013298,340,1.5
10013298,373,-1
10013337,340,1.5
10013337,373,-1
10013408,340,1.5
10013408,373,-1
10013429,340,1.5
10013429,373,-1
10013536,340,1.5
10013536,373,-1
10013537,340,1.5
10013537,373,-1
10013538,340,1.5
10013538,373,-1
10013860,340,1.5
10013860,373,-1
10013861,340,1.5
10013861,373,-1
10014739,340,1.5
10014739,373,-1
10014824,340,1.5
10014824,373,-1
10014825,340,1.5
10014825,373,-1
10015329,340,1.5
10015329,373,-1
10015414,340,1.5
10015414,373,-1
10015557,340,1.5
10015557,373,-1
10015558,340,1.5
10015558,373,-1
10015616,340,1.5
10015616,373,-1
10015662,340,1.5
10015662,373,-1
10015840,340,1.5
10015840,373,-1
10015841,340,1.5
10015841,373,-1
10015842,340,1.5
10015842,373,-1
10015843,340,1.5
10015843,373,-1
10015844,340,1.5
10015844,373,-1
10015993,340,1.5
10015993,373,-1
10015994,340,1.5
10015994,373,-1
10015995,340,1.5
10015995,373,-1
10016383,340,1.5
10016383,373,-1
10016384,340,1.5
10016384,373,-1
10016467,340,1.5
10016467,373,-1
10016550,340,1.5
10016550,373,-1
10017082,340,1.5
10017082,373,-1
10017186,340,1.5
10017186,373,-1
10017318,340,1.5
10017318,373,-1
10017534,340,1.5
10017534,373,-1
10017804,340,1.5
10017804,373,-1
10017864,340,1.5
10017864,373,-1
10017912,340,1.5
10017912,373,-1
10018046,340,1.5
10018046,373,-1
10018117,340,1.5
10018117,373,-1
10018118,340,1.5
10018118,373,-1
10018351,340,1.5
10018351,373,-1
10018352,340,1.5
10018352,373,-1
10018673,340,1.5
10018673,373,-1
10018680,340,1.5
10018680,373,-1
10018681,340,1.5
10018681,373,-1
10018923,340,1.5
10018923,373,-1
10019101,340,1.5
10019101,373,-1
10019240,340,1.5
10019240,373,-1
10019378,340,1.5
10019378,373,-1
10019734,340,1.5
10019734,373,-1
10019774,340,1.5
10019774,373,-1
10019913,340,1.5
10019913,373,-1
10019914,340,1.5
10019914,373,-1
