Vehicle,Location,Duration
10134791,287,0.5
10134791,116,1.051
10134791,287,-1
10145911,551,0.5
10145911,555,0.6667
10145911,551,-1
10179103,615,0.5
10179103,528,0.7718
10179103,615,-1
10187084,83,0.5
10187084,143,0.6667
10187084,83,-1
10000659,367,1.5
10000659,340,0.4167
10000659,367,0.4167
10000659,372,-1
10000729,367,1.5
10000729,340,0.3333
10000729,344,-1
10001718,367,1.5
10001718,474,-1
10002325,367,1.5
10002325,367,0.3333
10002325,340,-1
10002549,367,1.5
10002549,344,-1
10004088,422,1.5
10004088,350,0.4167
10004088,344,-1
10008826,406,1.5
10008826,412,0.7506
10008826,344,-1
10009576,412,1.5
10009576,358,0.4167
10009576,344,-1
10010229,422,1.5
10010229,412,0.442
10010229,344,-1
10010972,412,1.5
10010972,343,-1
10011579,366,1.5
10011579,343,-1
10011678,366,1.5
10011678,340,0.6475
10011678,344,-1
10012272,409,1.5
10012272,390,0.3325
10012272,340,0.7588
10012272,378,0.4167
10012272,344,-1
10012273,409,1.5
10012273,390,0.3325
10012273,340,0.7588
10012273,378,0.4167
10012273,344,-1
10012717,409,1.5
10012717,340,0.3526
10012717,233,-1
10013408,409,1.5
10013408,592,-1
10013536,409,1.5
10013536,342,-1
10013537,409,1.5
10013537,342,-1
10013538,409,1.5
10013538,342,-1
10020708,369,1.5
10020708,360,0.3333
10020708,519,0.4167
10020708,340,-1
10024941,431,1.5
10024941,431,0.3333
10024941,341,-1
10034361,222,1.5
10034361,156,0.3333
10034361,344,-1
10042417,186,1.5
10042417,248,0.382
10042417,343,-1
10044734,266,1.5
10044734,247,0.3781
10044734,343,-1
10045189,268,1.5
10045189,267,0.4167
10045189,340,-1
10045674,207,1.5
10045674,340,-1
10048061,463,1.5
10048061,340,-1
10048062,463,1.5
10048062,340,-1
10048063,463,1.5
10048063,340,-1
10048885,394,1.5
10048885,340,-1
10049469,394,1.5
10049469,376,0.3987
10049469,343,-1
10049470,394,1.5
10049470,376,0.3987
10049470,343,-1
10050439,394,1.5
10050439,422,1
10050439,388,0.379
10050439,344,-1
10050524,394,1.5
